geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
BE,2006,TOTAL,Total,TJ,"340218,0","829193,22792","365407,19866800006","1534818,426588"
BE,2006,W6210,Renewable municipal waste,TJ,"1148,9688","908,996148",,"2057,9649480000003"
BE,2007,R5110-5150_W6000RI,Primary solid biofuels,TJ,"6544,8396","33618,036204",,"40162,875804"
BE,2007,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
BE,2007,R5300,Biogases,TJ,"1039,0428","255,01798800000003","0,0","1294,060788"
BE,2007,RA000,Renewables and biofuels,TJ,"12336,587999999998","34840,372464","988,9221600000001","48165,88262399999"
BE,2007,TOTAL,Total,TJ,"339506,10000000003","764928,025056","377477,7012","1481911,8262560002"
BE,2007,W6210,Renewable municipal waste,TJ,"1068,5988000000002","13,020948",,"1081,6197480000003"
BE,2008,R5110-5150_W6000RI,Primary solid biofuels,TJ,"8942,346000000001","38949,004908",,"47891,35090800001"
BE,2008,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
