,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
232,AL,2015,R5300B,PC,"0,0","0,0",,,,,
233,AL,2015,R5300B,TJ_GCV,,,"0,0",,,,
234,AL,2015,RA000,KTOE,,,,,"216,705",,
235,AL,2015,RA200,KTOE,,,,"0,0",,"0,0",
236,AL,2015,RA410,KTOE,,,,"12,372",,"0,0",
237,AL,2015,RA600,KTOE,,,,,,,"0,0"
238,AL,2015,TOTAL,KTOE,,,,,"627,141",,
239,AL,2015,W6210,KTOE,,,,"0,0",,"0,0",
240,AL,2016,R5110-5150_W6000RI,KTOE,,,,"175,385",,"0,0",
241,AL,2016,R5160,KTOE,,,,"4,949",,,
242,AL,2016,R5292,KTOE,,,,"0,0",,,
243,AL,2016,R5292P,KTOE,,,,,,"0,0",
244,AL,2016,R5292S,KTOE,,,,"0,0",,,
245,AL,2016,R5292SB,KTOE,,,,,,"0,0",
246,AL,2016,R5292SP,KTOE,,,,,,"0,0",
247,AL,2016,R5293S,KTOE,,,,"0,0",,,
248,AL,2016,R5293SB,KTOE,,,,,,"0,0",
249,AL,2016,R5293SP,KTOE,,,,,,"0,0",
250,AL,2016,R5300,KTOE,,,,"0,0",,"0,0",
251,AL,2016,R5300B,KTOE,,,,"0,0",,"0,0",
252,AL,2016,R5300B,PC,"0,0","0,0",,,,,
253,AL,2016,R5300B,TJ_GCV,,,"0,0",,,,
254,AL,2016,RA000,KTOE,,,,,"193,083",,
255,AL,2016,RA200,KTOE,,,,"0,0",,"0,0",
256,AL,2016,RA410,KTOE,,,,"12,75",,"0,0",
257,AL,2016,RA600,KTOE,,,,,,,"0,0"
258,AL,2016,TOTAL,KTOE,,,,,"594,974",,
259,AL,2016,W6210,KTOE,,,,"0,0",,"0,0",
260,AL,2017,R5110-5150_W6000RI,KTOE,,,,"159,408",,"0,0",
261,AL,2017,R5160,KTOE,,,,"3,535",,,
262,AL,2017,R5292,KTOE,,,,"0,0",,,
263,AL,2017,R5292P,KTOE,,,,,,"0,0",
264,AL,2017,R5292S,KTOE,,,,"0,0",,,
265,AL,2017,R5292SB,KTOE,,,,,,"0,0",
266,AL,2017,R5292SP,KTOE,,,,,,"0,0",
267,AL,2017,R5293S,KTOE,,,,"0,0",,,
268,AL,2017,R5293SB,KTOE,,,,,,"0,0",
269,AL,2017,R5293SP,KTOE,,,,,,"0,0",
270,AL,2017,R5300,KTOE,,,,"0,0",,"0,0",
271,AL,2017,R5300B,KTOE,,,,"0,0",,"0,0",
272,AL,2017,R5300B,PC,"0,0","0,0",,,,,
273,AL,2017,R5300B,TJ_GCV,,,"0,0",,,,
274,AL,2017,RA000,KTOE,,,,,"176,143",,
275,AL,2017,RA200,KTOE,,,,"0,0",,"0,0",
276,AL,2017,RA410,KTOE,,,,"13,2",,"0,0",
277,AL,2017,RA600,KTOE,,,,,,,"0,0"
