siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5110-5150_W6000RI,GHP_RED,KTOE,PL	320.085 	279.242 	319.289 	297.077 	333.429 	372.862 	449.986 	318.047 	251.935 	233.281 	118.181 	88.564 	62.625 	59.783 	52.045 
R5110-5150_W6000RI,GHP_RED,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,RO	56.650 	64.967 	72.179 	68.955 	64.465 	42.921 	47.339 	47.650 	34.872 	20.302 	18.105 	17.698 	58.876 	17.340 	31.575 
R5110-5150_W6000RI,GHP_RED,KTOE,RS	3.907 	3.337 	3.535 	3.702 	3.057 	3.129 	1.457 	1.744 	1.600 	1.218 	0.478 	2.054 	1.146 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,SE	2484.260 	2517.675 	2476.593 	2318.310 	2277.849 	2353.468 	2429.755 	1995.892 	2615.363 	2101.748 	2178.967 	2103.516 	2222.676 	2213.743 	2009.434 
R5110-5150_W6000RI,GHP_RED,KTOE,SI	28.665 	30.340 	28.279 	26.918 	19.394 	20.254 	19.753 	18.797 	17.842 	16.170 	10.414 	8.312 	8.336 	9.363 	9.673 
R5110-5150_W6000RI,GHP_RED,KTOE,SK	121.644 	132.631 	125.442 	118.754 	113.500 	168.792 	172.566 	101.462 	96.876 	57.466 	45.620 	37.976 	35.063 	39.959 	27.252 
R5110-5150_W6000RI,GHP_RED,KTOE,TR	11.410 	1.000 	0.836 	0.693 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,UK	94.816 	82.444 	79.566 	78.370 	2.651 	4.251 	32.770 	23.216 	0.931 	15.501 	1.099 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,GHP_RED,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5160,FC_IND_OTH_E,KTOE,AL	1.767 	3.535 	4.949 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
