siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,NMLPRD_PURE,GWH,FI	14758.976 	14516.264 	14228.237 	14148.421 	14127.947 	14090.452 	14232.714 	14020.468 	13917.290 	13990.295 	13945.093 	13742.704 	13783.650 	13911.001 	13666.299 
E7000,NMLPRD_PURE,GWH,FR	57070.026 	55911.819 	56539.519 	57333.289 	58189.605 	58798.072 	58322.698 	58588.497 	59277.701 	59484.485 	60599.143 	60376.452 	61084.100 	61163.530 	61395.031 
E7000,NMLPRD_PURE,GWH,HR	6703.864 	6544.114 	6598.941 	6666.398 	6639.751 	6553.739 	6251.750 	6332.734 	6515.305 	6158.368 	5998.211 	5937.342 	5933.794 	5865.783 	5684.476 
E7000,NMLPRD_PURE,GWH,HU	234.413 	231.646 	232.338 	229.775 	228.286 	222.517 	216.710 	215.398 	208.539 	207.978 	196.890 	186.826 	183.579 	184.399 	183.036 
E7000,NMLPRD_PURE,GWH,IE	723.588 	716.683 	730.617 	724.781 	727.721 	737.184 	759.332 	751.818 	753.876 	753.890 	756.999 	745.249 	757.205 	760.414 	786.758 
E7000,NMLPRD_PURE,GWH,IS	13514.670 	12785.927 	12602.852 	12490.601 	12344.531 	12273.551 	11536.093 	11462.171 	11300.393 	11078.525 	10921.585 	10038.602 	6650.988 	6583.209 	6546.408 
E7000,NMLPRD_PURE,GWH,IT	44679.045 	43979.636 	44142.236 	43673.819 	43507.680 	42789.556 	41975.417 	41833.651 	41255.648 	40209.188 	39913.124 	39667.549 	40331.800 	41970.426 	41570.476 
E7000,NMLPRD_PURE,GWH,LT	451.763 	446.300 	432.908 	427.322 	429.759 	431.809 	429.938 	425.089 	419.639 	413.991 	418.858 	423.740 	428.092 	429.368 	407.347 
E7000,NMLPRD_PURE,GWH,LU	104.146 	103.558 	103.932 	104.042 	106.027 	104.732 	104.757 	103.956 	103.914 	102.488 	101.195 	97.007 	94.054 	92.276 	90.811 
E7000,NMLPRD_PURE,GWH,LV	2989.332 	2979.788 	2855.559 	2924.184 	2997.584 	3055.550 	3140.222 	3097.215 	3033.348 	2927.168 	2921.747 	2910.400 	2901.779 	2947.418 	3035.336 
