id,geo,year,siec,unit,GEP_NPUMP_MIX,GEP_RED,GFC_ELC,NMLPRD_MIX,NMLPRD_PURE
2666,EA19,2017,R5292P,GWH,,"4950,005999999999",,,
2667,EA19,2017,R5292SB,GWH,,"0,0",,,
2668,EA19,2017,R5292SP,GWH,,"4829,115",,,
2669,EA19,2017,R5293SB,GWH,,"0,0",,,
2670,EA19,2017,R5293SP,GWH,,"733,2919999999999",,,
2671,EA19,2017,R5300,GWH,,"50399,133",,,
2672,EA19,2017,R5300B,GWH,,"213,11900000000003",,,
2673,EA19,2017,RA000,GWH,,"715994,37",,,
2674,EA19,2017,RA100,GWH,,"244099,21399999998",,,
2675,EA19,2017,RA200,GWH,,"6714,039000000001",,,
2676,EA19,2017,RA300,GWH,,"243416,94100000002",,,
2677,EA19,2017,RA410,GWH,,"5883,0",,,
2678,EA19,2017,RA420,GWH,,"95016,079",,,
2679,EA19,2017,RA500,GWH,,"521,712",,,
2680,EA19,2017,TOTAL,GWH,,,"2337257,469",,
2681,EA19,2017,W6210,GWH,,"15732,236",,,
2682,EA19,2018,E7000,GWH,"15089,43",,,"16010,444","229446,548"
2683,EA19,2018,R5110-5150_W6000RI,GWH,,"50131,824",,,
2684,EA19,2018,R5292P,GWH,,"4864,451",,,
2685,EA19,2018,R5292SB,GWH,,"0,0",,,
2686,EA19,2018,R5292SP,GWH,,"4753,892",,,
2687,EA19,2018,R5293SB,GWH,,"0,0",,,
2688,EA19,2018,R5293SP,GWH,,"840,4860000000001",,,
2689,EA19,2018,R5300,GWH,,"49991,675",,,
2690,EA19,2018,R5300B,GWH,,"270,289",,,
2691,EA19,2018,RA000,GWH,,"743858,75",,,
2692,EA19,2018,RA100,GWH,,"245456,99300000002",,,
2693,EA19,2018,RA200,GWH,,"6643,746999999999",,,
2694,EA19,2018,RA300,GWH,,"262532,11699999997",,,
2695,EA19,2018,RA410,GWH,,"4867,0",,,
2696,EA19,2018,RA420,GWH,,"102286,969",,,
2697,EA19,2018,RA500,GWH,,"479,93",,,
2698,EA19,2018,TOTAL,GWH,,,"2332488,385",,
2699,EA19,2018,W6210,GWH,,"16444,313000000002",,,
2700,EE,2004,E7000,GWH,"0,0",,,"0,0","1,4669999999999999"
2701,EE,2004,R5110-5150_W6000RI,GWH,,"23,0",,,
2702,EE,2004,R5292P,GWH,,"0,0",,,
2703,EE,2004,R5292SB,GWH,,"0,0",,,
2704,EE,2004,R5292SP,GWH,,"0,0",,,
2705,EE,2004,R5293SB,GWH,,"0,0",,,
2706,EE,2004,R5293SP,GWH,,"0,0",,,
2707,EE,2004,R5300,GWH,,"7,0",,,
2708,EE,2004,R5300B,GWH,,"0,0",,,
2709,EE,2004,RA000,GWH,,"46,467",,,
2710,EE,2004,RA100,GWH,,"1,4669999999999999",,,
2711,EE,2004,RA200,GWH,,"0,0",,,
2712,EE,2004,RA300,GWH,,"15,0",,,
2713,EE,2004,RA410,GWH,,"0,0",,,
2714,EE,2004,RA420,GWH,,"0,0",,,
2715,EE,2004,RA500,GWH,,"0,0",,,
2716,EE,2004,TOTAL,GWH,,,"8510,0",,
2717,EE,2004,W6210,GWH,,"0,0",,,
2718,EE,2005,E7000,GWH,"0,0",,,"0,0","3,3"
2719,EE,2005,R5110-5150_W6000RI,GWH,,"21,0",,,
2720,EE,2005,R5292P,GWH,,"0,0",,,
2721,EE,2005,R5292SB,GWH,,"0,0",,,
2722,EE,2005,R5292SP,GWH,,"0,0",,,
2723,EE,2005,R5293SB,GWH,,"0,0",,,
2724,EE,2005,R5293SP,GWH,,"0,0",,,
2725,EE,2005,R5300,GWH,,"14,331",,,
2726,EE,2005,R5300B,GWH,,"0,0",,,
2727,EE,2005,RA000,GWH,,"96,898",,,
2728,EE,2005,RA100,GWH,,"3,3",,,
2729,EE,2005,RA200,GWH,,"0,0",,,
2730,EE,2005,RA300,GWH,,"58,266999999999996",,,
2731,EE,2005,RA410,GWH,,"0,0",,,
2732,EE,2005,RA420,GWH,,"0,0",,,
2733,EE,2005,RA500,GWH,,"0,0",,,
2734,EE,2005,TOTAL,GWH,,,"8597,0",,
2735,EE,2005,W6210,GWH,,"0,0",,,
2736,EE,2006,E7000,GWH,"0,0",,,"0,0","4,2"
2737,EE,2006,R5110-5150_W6000RI,GWH,,"26,0",,,
2738,EE,2006,R5292P,GWH,,"0,0",,,
2739,EE,2006,R5292SB,GWH,,"0,0",,,
2740,EE,2006,R5292SP,GWH,,"0,0",,,
2741,EE,2006,R5293SB,GWH,,"0,0",,,
2742,EE,2006,R5293SP,GWH,,"0,0",,,
2743,EE,2006,R5300,GWH,,"14,0",,,
2744,EE,2006,R5300B,GWH,,"0,0",,,
2745,EE,2006,RA000,GWH,,"128,219",,,
2746,EE,2006,RA100,GWH,,"4,2",,,
2747,EE,2006,RA200,GWH,,"0,0",,,
2748,EE,2006,RA300,GWH,,"84,01899999999999",,,
2749,EE,2006,RA410,GWH,,"0,0",,,
2750,EE,2006,RA420,GWH,,"0,0",,,
2751,EE,2006,RA500,GWH,,"0,0",,,
2752,EE,2006,TOTAL,GWH,,,"8982,0",,
2753,EE,2006,W6210,GWH,,"0,0",,,
2754,EE,2007,E7000,GWH,"0,0",,,"0,0","5,655"
2755,EE,2007,R5110-5150_W6000RI,GWH,,"19,55",,,
2756,EE,2007,R5292P,GWH,,"0,0",,,
2757,EE,2007,R5292SB,GWH,,"0,0",,,
2758,EE,2007,R5292SP,GWH,,"0,0",,,
2759,EE,2007,R5293SB,GWH,,"0,0",,,
2760,EE,2007,R5293SP,GWH,,"0,0",,,
2761,EE,2007,R5300,GWH,,"13,405",,,
2762,EE,2007,R5300B,GWH,,"0,0",,,
2763,EE,2007,RA000,GWH,,"139,86",,,
2764,EE,2007,RA100,GWH,,"5,655",,,
2765,EE,2007,RA200,GWH,,"0,0",,,
2766,EE,2007,RA300,GWH,,"101,25",,,
2767,EE,2007,RA410,GWH,,"0,0",,,
2768,EE,2007,RA420,GWH,,"0,0",,,
2769,EE,2007,RA500,GWH,,"0,0",,,
2770,EE,2007,TOTAL,GWH,,,"9770,0",,
2771,EE,2007,W6210,GWH,,"0,0",,,
2772,EE,2008,E7000,GWH,"0,0",,,"0,0","7,515"
2773,EE,2008,R5110-5150_W6000RI,GWH,,"27,345",,,
2774,EE,2008,R5292P,GWH,,"0,0",,,
2775,EE,2008,R5292SB,GWH,,"0,0",,,
2776,EE,2008,R5292SP,GWH,,"0,0",,,
2777,EE,2008,R5293SB,GWH,,"0,0",,,
2778,EE,2008,R5293SP,GWH,,"0,0",,,
2779,EE,2008,R5300,GWH,,"9,293",,,
2780,EE,2008,R5300B,GWH,,"0,0",,,
2781,EE,2008,RA000,GWH,,"190,10299999999998",,,
2782,EE,2008,RA100,GWH,,"7,515",,,
2783,EE,2008,RA200,GWH,,"0,0",,,
2784,EE,2008,RA300,GWH,,"145,94899999999998",,,
2785,EE,2008,RA410,GWH,,"0,0",,,
2786,EE,2008,RA420,GWH,,"0,0",,,
2787,EE,2008,RA500,GWH,,"0,0",,,
2788,EE,2008,TOTAL,GWH,,,"9640,0",,
2789,EE,2008,W6210,GWH,,"0,0",,,
2790,EE,2009,E7000,GWH,"0,0",,,"0,0","12,654000000000002"
2791,EE,2009,R5110-5150_W6000RI,GWH,,"306,089",,,
2792,EE,2009,R5292P,GWH,,"0,0",,,
2793,EE,2009,R5292SB,GWH,,"0,0",,,
2794,EE,2009,R5292SP,GWH,,"0,0",,,
2795,EE,2009,R5293SB,GWH,,"0,0",,,
2796,EE,2009,R5293SP,GWH,,"0,0",,,
2797,EE,2009,R5300,GWH,,"6,69",,,
2798,EE,2009,R5300B,GWH,,"0,0",,,
